Artist Name,City,Venue,Date,Time,Ticket Price
MENACE,SOUTHSEA, The Dockyard club,Fri 13th Jul 2018, 7:00pm,£8.80
OH SEES,CAMBRIDGE, Green Mind @ Cambridge Junction,Fri 13th Jul 2018, 7:00pm,£24.75
OUT OF BOUNDS COMEDY CLUB SEVENOAKS WITH JIMMY MCGHIE & ED GAMBLE,SEVENOAKS, Out of Bounds Comedy Club,Fri 13th Jul 2018, 7:00pm,£11.00
SUMMER 2018 CONCERT - NEW DIMENSION CHOIR,ROMFORD, St. Chad's Church,Fri 13th Jul 2018, 7:00pm,£5.50
TEYR AND THE TWISTED TWENTY,LONDON , Heath Street Baptist Church,Fri 13th Jul 2018, 7:00pm,£13.20
TEYR AND THE TWISTED TWENTY,LONDON , Heath Street Baptist Church,Fri 13th Jul 2018, 7:00pm,£11.00
THE BLUES BROTHERS TRIBUTE,BRACKNELL, The Keller and Apres,Fri 13th Jul 2018, 7:00pm,£8.80
THE LOUNGE - SPIRITUAL EVENING WITH GLYNN,WORTHING, ActivUs Lounge,Fri 13th Jul 2018, 7:00pm,£10.00
THE RONNIE SCOTT STORY,SWANAGE, The Mowlem Theatre,Fri 13th Jul 2018, 7:00pm,£27.50
THE SHOW THAT MUST NOT BE NAMED,OXFORD, Westgate Blackwells Bookshop,Fri 13th Jul 2018, 7:00pm,£11.00
THE SHOW THAT MUST NOT BE NAMED,OXFORD, Westgate Blackwells Bookshop,Fri 13th Jul 2018, 7:00pm,£8.80
TTMF18 CLASSICAL CONCERT,THAME, St. Mary's Church,Fri 13th Jul 2018, 7:00pm,£14.30
TTMF18 CLASSICAL CONCERT,THAME, St. Mary's Church,Fri 13th Jul 2018, 7:00pm,£11.00
ULTIMATE IMPROV FRIDAY,LONDON, The London Improv Theatre,Fri 13th Jul 2018, 7:00pm,£8.80
GREG ABATE QUARTET - BEBOP APLENTY!,BURFORD, Warwick New Hall - Burford Jazz,Fri 13th Jul 2018, 7:15pm,£12.00
PHANTOM OF THE OPERA WITH LIVE MUSIC FROM MINIMA,HITCHIN, Queen Mother Theatre Studio,Fri 13th Jul 2018, 7:15pm,£13.75
THE BLACK FEATHERS: LIVE @ THE COTTAGE,DEBENHAM, Dove Cottage,Fri 13th Jul 2018, 7:15pm,£9.90
THE BLACK FEATHERS: LIVE @ THE COTTAGE,DEBENHAM, Dove Cottage,Fri 13th Jul 2018, 7:15pm,£5.50
THE ISLE OF SLAVES,SHUTE, Primary School,Fri 13th Jul 2018, 7:15pm,£13.20
THE ISLE OF SLAVES,SHUTE, Primary School,Fri 13th Jul 2018, 7:15pm,£6.60
AMELIA WHITE,GREAT EASTON, Village Hall,Fri 13th Jul 2018, 7:30pm,£11.00
CHRIS CLEVERLEY,BATH, Chapel Arts Centre,Fri 13th Jul 2018, 7:30pm,£11.00
CROWN PROMOTIONS AND MANAGEMENT PROUDLY PRESENT,SCUNTHORPE, The Lincoln Imp,Fri 13th Jul 2018, 7:30pm,£13.20
DIRTY DANCING,CAMBRIDGE, The Doubletree Hotel,Fri 13th Jul 2018, 7:30pm,£13.20
FAUX FIGHTERS - ORIGINAL & BEST FOO FIGHTERS TRIBUTE,ABINGDON, The Northcourt,Fri 13th Jul 2018, 7:30pm,£13.20
FLEECE JAZZ PRESENTS: CHRIS INGHAM'S DUDLEY MOORE SHOW,STOKE BY NAYLAND, Club,Fri 13th Jul 2018, 7:30pm,£19.80
FLEECE JAZZ PRESENTS: CHRIS INGHAM'S DUDLEY MOORE SHOW,STOKE BY NAYLAND, Club,Fri 13th Jul 2018, 7:30pm,£9.90
FORGET THE DOWN,LONDON, Dublin Castle,Fri 13th Jul 2018, 7:30pm,£5.50
FUNHOUSE COMEDY CLUB,NOTTINGHAM, Bartons,Fri 13th Jul 2018, 7:30pm,£11.00
GOAT COMEDY SEASON 3: THE JUNGLE - ELF LYONS,HOVE, Southern Belle Pub and Theatre,Fri 13th Jul 2018, 7:30pm,£5.50
HANS CHEW,HUDDERSFIELD, Northern Quarter,Fri 13th Jul 2018, 7:30pm,£9.90
HANS CHEW,HUDDERSFIELD, Northern Quarter,Fri 13th Jul 2018, 7:30pm,£6.60
IAN MCNABB,BIDDULPH , Town Hall,Fri 13th Jul 2018, 7:30pm,£13.20
JERICHO COMEDY FRIDAY,OXFORD , Jericho Tavern,Fri 13th Jul 2018, 7:30pm,£6.60
KITT PHILIPPA,LONDON, The Islington,Fri 13th Jul 2018, 7:30pm,£7.15
LLANFYLLIN FESTIVAL 2018 CONCERT 1 - FRIDAY 13TH JULY,LLANFYLLIN, St Myllin's Church,Fri 13th Jul 2018, 7:30pm,£20.90
LLANFYLLIN FESTIVAL 2018 CONCERT 1 - FRIDAY 13TH JULY,LLANFYLLIN, St Myllin's Church,Fri 13th Jul 2018, 7:30pm,£18.70
LLANFYLLIN FESTIVAL 2018 CONCERT 1 FRIDAY 13TH JULY - EARLY BIRD TICKETS ONLY AVAILABLE UNTIL 15 MAY,LLANFYLLIN, St Myllin's Church,Fri 13th Jul 2018, 7:30pm,£16.50
MOTOWN GOLD! FRIDAY NIGHT IS DANCE NIGHT!,MALTON, The Milton Rooms,Fri 13th Jul 2018, 7:30pm,£22.00
OVACAST & BAD LANGUAGE 2018 CHARITY BASH,CHESTERFIELD, Real Time Live,Fri 13th Jul 2018, 7:30pm,£5.50
PAUL LAMB AND THE KINGSNAKES,GREAT TORRINGTON , The Plough Arts Centre,Fri 13th Jul 2018, 7:30pm,£16.50
QUADROPHENIA NIGHT FEAT ABSOLUTE KINKS @ RAMSGATE MUSIC HALL,RAMSGATE, Music Hall,Fri 13th Jul 2018, 7:30pm,£19.25
"RUDE MECHANICALS PRESENT ""PAPERWORK""",LONDON, Farr's School of Dancing,Fri 13th Jul 2018, 7:30pm,£5.50
SAND CASTLES,FAVERSHAM, Arden Theatre,Fri 13th Jul 2018, 7:30pm,£13.20
SAND CASTLES,FAVERSHAM, Arden Theatre,Fri 13th Jul 2018, 7:30pm,£11.00
SOUTH KENTISH TOWN,LONDON, Union Theatre,Fri 13th Jul 2018, 7:30pm,£8.25
SOUTH KENTISH TOWN,LONDON, Union Theatre,Fri 13th Jul 2018, 7:30pm,£5.50
THAME TOWN MUSIC FESTIVAL SONGWRITERS' COMPETITION,THAME, The Barns Centre,Fri 13th Jul 2018, 7:30pm,£0.00
THE BON JOVI EXPERIENCE,STOURBRIDGE, The Riverrooms,Fri 13th Jul 2018, 7:30pm,£11.00
THE GREATEST SHOWMAN (PG),TWICKENHAM, York House,Fri 13th Jul 2018, Doors 7.30pm / Start 9.15pm,""
TREMBLING BELLS,WORTHING, Bar 42,Fri 13th Jul 2018, 7:30pm,£8.80
VIMALA ROWE,LONDON, The Basement at Green Note,Fri 13th Jul 2018, 7:30pm,£11.00
VOODOO ROOM,ASCOT, Jagz,Fri 13th Jul 2018, 7:30pm,£11.00
ANNE-MARIE SANDERSON,KENILWORTH, The Tree House Bookshop,Fri 13th Jul 2018, 7:45pm,£8.80
OXROX PRESENTS DORJA,OXFORD, The Wheatsheaf,Fri 13th Jul 2018, 7:45pm,£8.80
TIM V'S SHAM 69 LIVE SHOW,PETERBOROUGH, The Met Lounge,Fri 13th Jul 2018, 7:45pm,£11.00
'THE HOST' - XYZ THEATRE COMPANY,BUXTON, The Green Man Gallery,Fri 13th Jul 2018, 7:45pm,£5.50
"'ALONE, TOGETHER' - 8PM SHOW",BUXTON, The Green Man Gallery,Fri 13th Jul 2018, 7:50pm,£9.90
"'ALONE, TOGETHER' - 8PM SHOW",BUXTON, The Green Man Gallery,Fri 13th Jul 2018, 7:50pm,£7.15
ABSOLUTE BLONDIE,CHESLYN HAY, Community and Sports Club,Fri 13th Jul 2018, 8:00pm,£7.70
CHELSEA,BRIGHTON, The Prince Albert,Fri 13th Jul 2018, 8:00pm,£11.00
DOYLE,BELFAST, Voodoo,Fri 13th Jul 2018, 8:00pm,£19.80
"HOWARD RILEY, BARRY GUY, LUCAS NIGGLI TRIO (EARLY BIRD)",LONDON, Vortex,Fri 13th Jul 2018, 8:00pm,£16.50
LUKE TUCHSCHERER @ HEAVEN'S GATE,LIVERPOOL, 81 Renshaw Street,Fri 13th Jul 2018, 8:00pm,£8.80
MARTIN CARTHY,LONDON, The Kalamazoo Klub @ The King's Head,Fri 13th Jul 2018, 8:00pm,£16.50
MIKELE MONTOLLI TRIO,LONDON, The Crypt,Fri 13th Jul 2018, 8:00pm,£8.80
MIKELE MONTOLLI TRIO,LONDON, The Crypt,Fri 13th Jul 2018, 8:00pm,£5.50
OLI BROWN,SHEFFIELD, The Greystones,Fri 13th Jul 2018, 8:00pm,£14.30
POTATO POTATO,LONDON," The Phoenix, Cavendish Square",Fri 13th Jul 2018, 8:00pm,£8.80
SHXCXCHCXSH,LONDON, Moth Club,Fri 13th Jul 2018, 8:00pm,£9.90
SIEBEN,SHEFFIELD, Toolmakers Live,Fri 13th Jul 2018, 8:00pm,£8.80
SUGARBEAT + THE FAKERS,CAMBRIDGE, Portland Arms,Fri 13th Jul 2018, 8:00pm,£7.70
TEMPLES OF YOUTH,BRIGHTON, The Hope and Ruin,Fri 13th Jul 2018, 8:00pm,£4.40
THE MIGHTY MOCAMBOS,HOVE, The Brunswick,Fri 13th Jul 2018, 8:00pm,£13.75
THE MIGHTY MOCAMBOS,HOVE, The Brunswick,Fri 13th Jul 2018, 8:00pm,£11.00
THE MUSTANGS,RICHMOND, Crawdaddy Club,Fri 13th Jul 2018, 8:00pm,£11.00
WOYZECK,CAMBRIDGE, The Leper Chapel,Fri 13th Jul 2018, 8:00pm,£16.50
WRONG JOVI,BEDFORD, Esquires,Fri 13th Jul 2018, 8:00pm,£11.00
DOM PIPKIN AND THE IKOS,ABINGDON, Kings Head & Bell,Fri 13th Jul 2018, 8:30pm,£5.50
DOYLE VIP MEET & GREET,BELFAST, Voodoo,Fri 13th Jul 2018, 8:30pm,£43.20
ELECTRONIX: EIGHTIES SYNTH TRIBUTE,BIDEFORD, The Palladium Club,Fri 13th Jul 2018, 8:30pm,£6.60
OYE SANTANA,TAVISTOCK, The Wharf,Fri 13th Jul 2018, 8:30pm,£16.50
THE TIN PIGEONS,STAMFORD, Mama Liz's Voodoo Lounge,Fri 13th Jul 2018, 8:30pm,£11.00
ALTERN8 - METAL/ROCK/ALTERNATIVE CLUBNIGHT,EXETER, Cavern,Fri 13th Jul 2018, 9:00pm,£1.10
WONDERBRASS WITH CLAUDE DEPPA,CARDIFF, Gwdihw Cafe Bar,Fri 13th Jul 2018, 9:00pm,£3.30
COLIN CLOUD LIVE,"CEDARS HALL, CEDARS WELLS, CATHEDRAL SCHOOL, THE LIBERTY, BA5 2ST",,Fri 13th & Sat 14th July 2018,,""
HOUSE OF BURLESQUE REVUE,LONDON, Underbelly Festival,Fri 13th Jul 2018, 9:30pm,£21.45
BLOW UP,LONDON, St. Moritz Club,Fri 13th Jul 2018, 10:00pm,£5.50
LOADED FRIDAYS,READING, After Dark Club,Fri 13th Jul 2018, 10:30pm,£5.50
GELLERT SPA FULL DAY ENTRANCE TICKET,BUDAPEST, Gellért Thermal Spa,Sat 14th Jul 2018, 9:00am,£19.80
SZÉCHENYI SPA FULL DAY ENTRANCE TICKET,BUDAPEST, Széchenyi Thermal Spa,Sat 14th Jul 2018, 9:00am,£18.70
FINISHING TECHNIQUES WITH RENEE CALLAHAN,BIRMINGHAM, Uffculme Centre,Sat 14th Jul 2018, 10:00am,£43.20
KNITTING HAP SHAWLS WITH KARIE WESTERMANN,BIRMINGHAM, Uffculme Centre,Sat 14th Jul 2018, 10:00am,£43.20
MAKE YOUR OWN LEATHER PURSE WITH DEBORETTE CLARKE,BIRMINGHAM, Uffculme Centre,Sat 14th Jul 2018, 10:00am,£43.20
MOANA (2016): WOODBERRY DOWN 14 JULY 2018 10AM,LONDON, Woodberry Downs,Sat 14th Jul 2018, 10:00am,£3.30
THE MUSIC TIME BIG SUMMER GIG,CROYDON, Clyde Hall,Sat 14th Jul 2018, 10:00am,£11.00
INSIDE & UNDER MEDIEVAL SOUTHAMPTON - THE MERCHANTS TOWN,SOUTHAMPTON, Tudor House Museum,Sat 14th Jul 2018, 10:30am,£5.50
NEIL JOHNSON - STAGE COMBAT IN CONTEXT,WELLS, Bishops Barn,Sat 14th Jul 2018, 10:30am,£11.00
REYNARD THE FOX - THE FABULARIUM THEATRE CO,"SOUTH GARDEN AT THE BISHOP'S PALACE, OFF MARKET PLACE, WELLS, BA5 2PD",,Fri 13th & Sat 14th July 2018,,""
HELEN O'GRADY DRAMA - BASSINGBOURN & LINTON CLASSES,CAMBRIDGE, Storey's Field Centre,Sat 14th Jul 2018, 11:00am,£8.25
THE MUSÉE PICASSO,CHICHESTER, Pallant House Gallery,Sat 14th Jul 2018, 11:00am,£27.50
WRITING OFF SUNDAY #1 - GROUP TICKET(5),CORBY, The Steelmen Bar,Sat 14th Jul 2018, 11:00am,£11.00
YARNINGHAM MARKETPLACE SATURDAY,BIRMINGHAM, Uffculme Centre,Sat 14th Jul 2018, 11:00am,£5.50
YARNINGHAM MARKETPLACE SATURDAY EARLY BIRD,BIRMINGHAM, Uffculme Centre,Sat 14th Jul 2018, 11:00am,£3.85
'THE SILVERTOWN SPECIAL' DERELICT LONDON TOUR AND BREWERY VISIT WITH AUTHOR PAUL TALLING,LONDON, City Airport DLR Station,Sat 14th Jul 2018, 11:00am,£14.85
LAUGHING HORSE WEEKEND (2 DAY) COMEDY COURSE,"The Royal Exchange, 26 Sale Place, Paddington, London, W2 1PU",,Sat 14th & Sun 15th Jul 2018, 12pm Start,""
NEW HARTLEY LIVE MUSIC FESTIVAL,WHITLEY BAY, New Hartley Community Centre,Sat 14th Jul 2018, 12:00pm,£6.60
